Current Offset,Sample Number,Title,Trigger Offset,Time End,Time Start,U Sec,Time Of Threshold
4206,16384,wf_61,5404,1662555465.4963174,1662555465.4961863,496186,592
12137,16384,wf_62,13335,1662555465.5010417,1662555465.5009105,500910,600
16351,16384,wf_63,1165,1662555465.507281,1662555465.50715,507149,1144
4548,16384,wf_64,5746,1662555465.5134106,1662555465.5132794,513279,736
16245,16384,wf_65,1059,1662555465.5250058,1662555465.5248747,524874,528
14972,16384,wf_66,16170,1662555465.5333133,1662555465.5331821,533182,480
607,16384,wf_67,1805,1662555465.5609145,1662555465.5607834,560783,440
1883,16384,wf_68,3081,1662555465.5672827,1662555465.5671515,567151,656
15274,16384,wf_69,88,1662555465.5761168,1662555465.5759857,575985,1080
176,16384,wf_70,1374,1662555465.5797017,1662555465.5795705,579570,560
3303,16384,wf_71,4501,1662555465.5953946,1662555465.5952635,595263,488
4293,16384,wf_72,5491,1662555465.6108317,1662555465.6107006,610700,528
2782,16384,wf_73,3980,1662555465.6181917,1662555465.6180606,618060,528
4907,16384,wf_74,6105,1662555465.627148,1662555465.6270168,627016,480
12939,16384,wf_75,14137,1662555465.6368356,1662555465.6367044,636704,848
2275,16384,wf_76,3473,1662555465.6700838,1662555465.6699526,669952,1032
3305,16384,wf_77,4503,1662555465.6807835,1662555465.6806524,680652,512
10000,16384,wf_78,11198,1662555465.7056906,1662555465.7055595,705559,672
493,16384,wf_79,1691,1662555465.718425,1662555465.718294,718293,696
8715,16384,wf_80,9913,1662555465.724481,1662555465.72435,724349,528
981,16384,wf_82,2179,1662555465.7388504,1662555465.7387192,738719,1008
11687,16384,wf_83,12885,1662555465.7444851,1662555465.744354,744353,904
955,16384,wf_84,2153,1662555465.772137,1662555465.7720058,772005,1400
5529,16384,wf_85,6727,1662555465.7760637,1662555465.7759326,775932,728
10577,16384,wf_86,11775,1662555465.7947395,1662555465.7946084,794608,432
7542,16384,wf_87,8740,1662555465.807124,1662555465.8069928,806992,784
434,16384,wf_88,1632,1662555465.8107955,1662555465.8106644,810664,856
7747,16384,wf_89,8945,1662555465.8315308,1662555465.8313997,831399,496
2850,16384,wf_90,4048,1662555465.8445718,1662555465.8444407,844440,760
16316,16384,wf_91,1130,1662555465.862957,1662555465.8628259,862825,864
7816,16384,wf_92,9014,1662555465.888431,1662555465.8883,888299,3288
14876,16384,wf_93,16074,1662555465.8917358,1662555465.8916047,891604,544
1070,16384,wf_94,2268,1662555465.8984697,1662555465.8983386,898338,1272
12219,16384,wf_95,13417,1662555465.9095325,1662555465.9094014,909401,584
7398,16384,wf_96,8596,1662555465.9163117,1662555465.9161806,916180,472
8650,16384,wf_97,9848,1662555465.9283178,1662555465.9281867,928186,664
10374,16384,wf_98,11572,1662555465.9363964,1662555465.9362652,936265,656
2811,16384,wf_99,4009,1662555465.946532,1662555465.946401,946400,608
3110,16384,wf_100,4308,1662555465.9593418,1662555465.9592106,959210,520
12314,16384,wf_101,13512,1662555465.9675956,1662555465.9674644,967464,1312
15790,16384,wf_102,604,1662555465.9708095,1662555465.9706783,970678,480
13663,16384,wf_103,14861,1662555465.9847481,1662555465.984617,984616,544
14642,16384,wf_104,15840,1662555465.9881139,1662555465.9879827,987982,616
1780,16384,wf_105,2978,1662555466.033566,1662555466.0334349,33434,936
3456,16384,wf_106,4654,1662555466.0402334,1662555466.0401022,40102,896
6247,16384,wf_107,7445,1662555466.0453165,1662555466.0451853,45185,520
10923,16384,wf_108,12121,1662555466.0794625,1662555466.0793314,79331,480
9254,16384,wf_109,10452,1662555466.093118,1662555466.0929868,92986,600
5945,16384,wf_110,7143,1662555466.1022756,1662555466.1021445,102144,776
3645,16384,wf_111,4843,1662555466.1078327,1662555466.1077015,107701,544
15293,16384,wf_112,107,1662555466.1164865,1662555466.1163554,116355,608
11389,16384,wf_113,12587,1662555466.121351,1662555466.1212199,121219,904
13493,16384,wf_114,14691,1662555466.1282048,1662555466.1280737,128073,744
8292,16384,wf_115,9490,1662555466.131345,1662555466.131214,131213,552
16073,16384,wf_116,887,1662555466.1361125,1662555466.1359813,135981,848
2578,16384,wf_117,3776,1662555466.1437647,1662555466.1436336,143633,704
3929,16384,wf_118,5127,1662555466.148971,1662555466.14884,148840,608
460,16384,wf_119,1658,1662555466.159276,1662555466.1591449,159144,496
12220,16384,wf_120,13418,1662555466.162415,1662555466.162284,162283,1080
9957,16384,wf_121,11155,1662555466.2124758,1662555466.2123446,212344,1152
3090,16384,wf_122,4288,1662555466.2251072,1662555466.224976,224976,656
14870,16384,wf_123,16068,1662555466.2379556,1662555466.2378244,237824,472
1284,16384,wf_124,2482,1662555466.2516682,1662555466.251537,251536,800
9149,16384,wf_125,10347,1662555466.2560058,1662555466.2558746,255874,624
3860,16384,wf_126,5058,1662555466.268441,1662555466.2683098,268309,440
4355,16384,wf_127,5553,1662555466.2730935,1662555466.2729623,272962,720
11684,16384,wf_128,12882,1662555466.2786028,1662555466.2784717,278471,704
11684,16384,wf_128,12882,1662555466.2786028,1662555466.2784717,278471,704
1446,16384,wf_129,2644,1662555466.2948594,1662555466.2947283,294728,432
15805,16384,wf_130,619,1662555466.3022645,1662555466.3021333,302133,872
11810,16384,wf_131,13008,1662555466.310905,1662555466.3107738,310773,624
14087,16384,wf_132,15285,1662555466.3145168,1662555466.3143857,314385,416
2571,16384,wf_133,3769,1662555466.318691,1662555466.31856,318559,720
