Max,Time,Integral,Time Of Threshold,INTNS
[235.25821023],1662555465.8984697,[16456.35453547],1272,[16456.35453547]
[51.51996093],1662555465.9095325,[5800.5127579],584,[5800.5127579]
[40.89854719],1662555465.9163117,[5247.22256135],472,[5247.22256135]
[52.61872787],1662555465.9283178,[6223.78219998],664,[6223.78219998]
[66.04810157],1662555465.9363964,[6636.67439873],656,[6636.67439873]
[59.08924429],1662555465.946532,[6253.81516298],608,[6253.81516298]
[58.96715908],1662555465.9593418,[5969.2345257],520,[5969.2345257]
[269.19790013],1662555465.9675956,[18225.85764864],1312,[18225.85764864]
[40.16603589],1662555465.9708095,[5132.95079966],480,[5132.95079966]
[49.20034184],1662555465.9847481,[5615.55365645],544,[5615.55365645]
[70.44316933],1662555465.9881139,[6465.99926749],616,[6465.99926749]
[137.2237822],1662555466.033566,[10201.56269076],936,[10201.56269076]
[116.10303992],1662555466.0402334,[9545.47674277],896,[9545.47674277]
[44.31693322],1662555466.0453165,[5267.00036626],520,[5267.00036626]
[44.56110365],1662555466.0794625,[5366.13356123],480,[5366.13356123]
[51.2757905],1662555466.093118,[5900.98889025],600,[5900.98889025]
[83.14003174],1662555466.1022756,[7515.68795019],776,[7515.68795019]
[46.14821145],1662555466.1078327,[5440.8497131],544,[5440.8497131]
[65.4376755],1662555466.1164865,[6472.46978391],608,[6472.46978391]
[119.64351117],1662555466.121351,[9619.33829813],904,[9619.33829813]
[94.73812721],1662555466.1282048,[7776.33988524],744,[7776.33988524]
[43.21816628],1662555466.131345,[5428.76327677],552,[5428.76327677]
[121.4747894],1662555466.1361125,[9414.8455622],848,[9414.8455622]
[68.48980588],1662555466.1437647,[6686.97350751],704,[6686.97350751]
[56.64753998],1662555466.148971,[6074.83823709],608,[6074.83823709]
[54.57209132],1662555466.159276,[5869.73507508],496,[5869.73507508]
[193.01672567],1662555466.162415,[14055.79294347],1080,[14055.79294347]
[204.85899158],1662555466.2124758,[14358.075937],1152,[14358.075937]
[74.59406666],1662555466.2251072,[6917.59247955],656,[6917.59247955]
[38.57892809],1662555466.2379556,[4998.4128922],472,[4998.4128922]
[91.19765596],1662555466.2516682,[7973.50750824],800,[7973.50750824]
[63.24014162],1662555466.2560058,[6361.00598218],624,[6361.00598218]
[44.9273593],1662555466.268441,[5098.27859846],440,[5098.27859846]
[74.47198144],1662555466.2730935,[6973.50750824],720,[6973.50750824]
[74.22781101],1662555466.2786028,[6902.08765718],704,[6902.08765718]
[74.22781101],1662555466.2786028,[6902.08765718],704,[6902.08765718]
[38.82309852],1662555466.2948594,[4862.04370651],432,[4862.04370651]
[84.48296911],1662555466.3022645,[8139.42131608],872,[8139.42131608]
[73.73947015],1662555466.310905,[6509.70577463],624,[6509.70577463]
[37.48016115],1662555466.3145168,[4799.29190575],416,[4799.29190575]
[71.29776584],1662555466.318691,[6914.41826395],720,[6914.41826395]
[66.29227201],1662555466.3565192,[6584.78818215],720,[6584.78818215]
[54.20583567],1662555466.3629327,[5926.38261507],608,[5926.38261507]
[1000.12208522],1662555466.3833542,[114332.56012696],3792,[114332.56012696]
[52.37455744],1662555466.390652,[5411.42717617],448,[5411.42717617]
[54.93834697],1662555466.4129834,[5657.06262972],536,[5657.06262972]
[47.97948968],1662555466.4184318,[5409.22964229],488,[5409.22964229]
[47.85740447],1662555466.4285955,[5412.89219875],472,[5412.89219875]
[201.44060554],1662555466.431959,[14650.71419851],1120,[14650.71419851]
[77.64619705],1662555466.442103,[6833.35368087],696,[6833.35368087]
[64.33890856],1662555466.4574697,[6475.39982908],600,[6475.39982908]
[65.92601636],1662555466.4658813,[6110.73129044],536,[6110.73129044]
[40.04395068],1662555466.4702992,[5069.58857282],472,[5069.58857282]
[74.59406666],1662555466.4790244,[7139.05506043],752,[7139.05506043]
[56.03711391],1662555466.4860446,[6327.55463313],672,[6327.55463313]
[56.15919912],1662555466.5125487,[6019.28946405],600,[6019.28946405]
[52.61872787],1662555466.5271127,[5804.78574045],576,[5804.78574045]
[90.46514467],1662555466.532199,[8016.23733366],840,[8016.23733366]
[72.76278843],1662555466.535807,[7065.55976071],680,[7065.55976071]
[61.5309486],1662555466.5564172,[6303.25967525],648,[6303.25967525]
