Max,Time,Integral,Time Of Threshold,INTNS
[96.08106458],1662555501.8692656,[8558.17360518],824,[8558.17360518]
[48.34574533],1662555501.8794158,[5439.62886094],496,[5439.62886094]
[65.31559028],1662555501.8899052,[6324.86875839],624,[6324.86875839]
[78.01245269],1662555501.9001837,[7071.05359541],664,[7071.05359541]
[102.551581],1662555501.9101148,[8850.44561104],904,[8850.44561104]
[62.75180076],1662555501.9260132,[6540.47124893],704,[6540.47124893]
[59.57758515],1662555501.9319816,[6322.5491393],624,[6322.5491393]
[73.3732145],1662555501.9460769,[7104.99328531],712,[7104.99328531]
[61.16469296],1662555501.96415,[6260.16359419],592,[6260.16359419]
[145.76974728],1662555501.9769797,[10427.05408375],880,[10427.05408375]
[40.65437675],1662555501.9847531,[5258.21023074],520,[5258.21023074]
[73.49529972],1662555502.0068266,[7169.69844952],744,[7169.69844952]
[186.17995361],1662555502.0109854,[12931.3881089],952,[12931.3881089]
[73.25112929],1662555502.0703292,[6617.87327555],552,[6617.87327555]
[46.88072274],1662555502.0775483,[5629.95971188],568,[5629.95971188]
[932.60896105],1662555502.0899231,[75266.87828104],3176,[75266.87828104]
[41.50897326],1662555502.102798,[5082.7737761],464,[5082.7737761]
[355.26797705],1662555502.1137211,[22648.2724942],1280,[22648.2724942]
[43.3402515],1662555502.1192143,[5139.90965694],464,[5139.90965694]
[37.8464168],1662555502.1371732,[4828.22610182],432,[4828.22610182]
[173.72726163],1662555502.1602376,[12204.37065071],976,[12204.37065071]
[55.42668783],1662555502.163643,[6406.1775119],696,[6406.1775119]
[161.76291051],1662555502.171461,[11624.95421804],944,[11624.95421804]
[53.5954096],1662555502.1792467,[6114.02759126],592,[6114.02759126]
[260.89610548],1662555502.1894464,[17173.97143206],1136,[17173.97143206]
[42.36356977],1662555502.1925905,[5355.63423269],504,[5355.63423269]
[47.73531925],1662555502.2016528,[5593.70040288],592,[5593.70040288]
[80.57624222],1662555502.2290988,[7546.57550971],712,[7546.57550971]
[54.69417654],1662555502.233624,[6208.52154804],640,[6208.52154804]
[67.14686851],1662555502.2374928,[6890.24539128],728,[6890.24539128]
[61.65303382],1662555502.241576,[6655.71969234],680,[6655.71969234]
[79.59956049],1662555502.2533634,[7231.71773898],752,[7231.71773898]
[142.35136125],1662555502.2802415,[10917.10413869],1024,[10917.10413869]
[43.70650714],1662555502.28483,[5428.27493591],544,[5428.27493591]
[78.01245269],1662555502.3101215,[7283.48187035],728,[7283.48187035]
[49.20034184],1662555502.316577,[5590.40410206],528,[5590.40410206]
[47.36906361],1662555502.3329408,[5538.02954462],520,[5538.02954462]
[152.72860457],1662555502.3379283,[10885.23989745],928,[10885.23989745]
[67.87937981],1662555502.3548918,[6941.76535222],720,[6941.76535222]
[87.65718471],1662555502.364188,[8020.99865706],896,[8020.99865706]
[242.82749359],1662555502.3705716,[16796.97228666],1184,[16796.97228666]
[67.87937981],1662555502.390486,[6621.78000244],648,[6621.78000244]
[93.76144549],1662555502.404747,[8575.14345013],840,[8575.14345013]
[40.77646197],1662555502.4104855,[4986.20437065],416,[4986.20437065]
[37.72433158],1662555502.4149315,[5041.0206324],432,[5041.0206324]
[39.79978025],1662555502.4517584,[5066.78061287],424,[5066.78061287]
[44.80527408],1662555502.457698,[5688.43853009],576,[5688.43853009]
[44.80527408],1662555502.457698,[5688.43853009],576,[5688.43853009]
[49.44451227],1662555502.4648132,[5840.6787938],608,[5840.6787938]
[90.7093151],1662555502.4984798,[8207.66695153],840,[8207.66695153]
[62.99597119],1662555502.5085735,[6685.50848492],696,[6685.50848492]
[66.53644244],1662555502.5194302,[6670.98034428],640,[6670.98034428]
[54.57209132],1662555502.538387,[5737.63887193],536,[5737.63887193]
[40.16603589],1662555502.5476253,[5237.33365889],504,[5237.33365889]
[54.32792089],1662555502.5558739,[6126.23611281],632,[6126.23611281]
[42.72982542],1662555502.5801551,[5421.9265047],544,[5421.9265047]
[42.72982542],1662555502.59413,[4828.59235747],424,[4828.59235747]
[82.7737761],1662555502.6005723,[7578.92809181],736,[7578.92809181]
[168.59968258],1662555502.6063707,[12291.17323892],1072,[12291.17323892]
[108.77792699],1662555502.6104062,[8848.37016237],872,[8848.37016237]
[53.10706873],1662555502.614997,[5836.03955561],608,[5836.03955561]
[41.99731413],1662555502.625285,[5365.88939079],544,[5365.88939079]
[157.85618362],1662555502.6506548,[11628.73885972],1016,[11628.73885972]
[268.83164449],1662555502.6547968,[18149.0660481],1128,[18149.0660481]
[73.00695886],1662555502.673837,[7079.59956049],728,[7079.59956049]
[50.17702356],1662555502.688704,[5823.83103406],576,[5823.83103406]
[1000.12208522],1662555502.6983614,[227784.27542424],6592,[227784.27542424]
[77.2799414],1662555502.7250626,[7087.90135515],640,[7087.90135515]
[1000.12208522],1662555502.7284844,[99950.67757294],3536,[99950.67757294]
[80.82041265],1662555502.7368279,[7636.91856916],784,[7636.91856916]
[274.56964962],1662555502.7498305,[18230.98522769],1248,[18230.98522769]
[71.29776584],1662555502.7605472,[7090.34305946],704,[7090.34305946]
[27.5912587],1662555502.764795,[6123.18398242],424,[6123.18398242]
[27.5912587],1662555502.764795,[6123.18398242],424,[6123.18398242]
[246.8563057],1662555502.7845657,[16287.14442681],1160,[16287.14442681]
[146.25808815],1662555502.793183,[11193.87132218],976,[11193.87132218]
[62.75180076],1662555502.8019998,[6890.24539128],720,[6890.24539128]
[83.87254304],1662555502.8218915,[7397.99780247],736,[7397.99780247]
[57.62422171],1662555502.8441482,[6182.39531193],608,[6182.39531193]
[216.33500183],1662555502.8593116,[15170.55304603],1232,[15170.55304603]
[408.25296057],1662555502.8650358,[27209.49822976],1704,[27209.49822976]
[54.08375046],1662555502.875181,[5791.47845196],568,[5791.47845196]
[63.48431205],1662555502.9205031,[6582.95690392],640,[6582.95690392]
[97.30191674],1662555502.9295003,[8555.60981565],888,[8555.60981565]
[55.06043218],1662555502.9411561,[5476.62068124],512,[5476.62068124]
[55.06043218],1662555502.9411561,[5476.62068124],512,[5476.62068124]
[89.85471859],1662555502.947944,[7993.28531315],776,[7993.28531315]
[57.74630692],1662555502.9581587,[5845.07386156],496,[5845.07386156]
[68.85606153],1662555502.9700413,[6674.2766451],568,[6674.2766451]
[58.72298865],1662555502.992036,[6304.72469784],632,[6304.72469784]
[97.91234282],1662555502.9994662,[8146.50225858],736,[8146.50225858]
[65.19350507],1662555503.010612,[6405.20083018],584,[6405.20083018]
[44.31693322],1662555503.0222366,[5514.83335368],568,[5514.83335368]
[65.07141985],1662555503.0329046,[6549.26138445],624,[6549.26138445]
[49.07825662],1662555503.0399473,[5685.02014406],576,[5685.02014406]
[102.551581],1662555503.0617275,[8566.59748504],880,[8566.59748504]
[46.27029667],1662555503.0687153,[5556.58649737],560,[5556.58649737]
[39.92186546],1662555503.0985155,[5067.0247833],464,[5067.0247833]
[53.96166524],1662555503.108835,[5958.73519717],624,[5958.73519717]
[136.36918569],1662555503.11881,[10567.32999634],944,[10567.32999634]
[51.15370529],1662555503.1252277,[5699.67036992],552,[5699.67036992]
[67.14686851],1662555503.1331396,[6922.23171774],664,[6922.23171774]
[57.38005128],1662555503.1620173,[5955.92723721],536,[5955.92723721]
[251.12928824],1662555503.178963,[16787.57172506],1232,[16787.57172506]
[38.82309852],1662555503.187776,[4922.23171774],432,[4922.23171774]
[197.53387865],1662555503.196844,[13826.27273837],1096,[13826.27273837]
[53.71749481],1662555503.218843,[6001.46502259],552,[6001.46502259]
[71.90819192],1662555503.2508197,[6887.43743133],640,[6887.43743133]
[156.1469906],1662555503.2674615,[11778.04907826],1008,[11778.04907826]
[76.91368575],1662555503.288652,[6940.91075571],696,[6940.91075571]
[50.42119399],1662555503.298722,[5643.99951166],496,[5643.99951166]
[115.61469906],1662555503.302846,[8991.3319497],816,[8991.3319497]
[72.15236235],1662555503.3165088,[6508.11866683],584,[6508.11866683]
[55.67085826],1662555503.3253531,[5430.35038457],464,[5430.35038457]
[48.1015749],1662555503.3342726,[5631.05847882],512,[5631.05847882]
[57.13588084],1662555503.3474386,[6146.99059944],640,[6146.99059944]
[64.7051642],1662555503.3573508,[6226.83433036],568,[6226.83433036]
[1000.12208522],1662555503.3605597,[86920.27835429],3400,[86920.27835429]
[262.97155414],1662555503.365067,[17902.69808326],1136,[17902.69808326]
[53.83958003],1662555503.3728893,[5900.50054938],616,[5900.50054938]
[358.44219265],1662555503.3979504,[23455.13368331],1424,[23455.13368331]
[73.61738493],1662555503.424513,[6905.50604322],712,[6905.50604322]
[48.58991576],1662555503.4369843,[5487.73043584],488,[5487.73043584]
[67.26895373],1662555503.4403539,[6661.33561226],624,[6661.33561226]
[167.25674521],1662555503.4633007,[12249.05383958],1080,[12249.05383958]
[68.73397632],1662555503.467908,[6379.56293493],584,[6379.56293493]
[136.97961177],1662555503.4717898,[10456.23245025],944,[10456.23245025]
[206.20192895],1662555503.4973636,[13986.08228543],1104,[13986.08228543]
[69.10023196],1662555503.51936,[6841.16713466],696,[6841.16713466]
[77.89036748],1662555503.527446,[7195.5805152],680,[7195.5805152]
[175.43645465],1662555503.5344815,[12138.68880479],1080,[12138.68880479]
[50.54327921],1662555503.5419416,[5563.42326944],528,[5563.42326944]
[41.14271762],1662555503.551154,[5342.57111464],496,[5342.57111464]
[258.08814553],1662555503.5566292,[17265.53534367],1336,[17265.53534367]
[59.45549994],1662555503.5635734,[6461.23794408],696,[6461.23794408]
[47.85740447],1662555503.5739253,[5270.66292272],416,[5270.66292272]
[46.39238188],1662555503.5889251,[5455.74410939],536,[5455.74410939]
[158.22243926],1662555503.5964456,[11695.27530216],976,[11695.27530216]
[69.95482847],1662555503.6222813,[6439.01843487],640,[6439.01843487]
[94.24978635],1662555503.6348913,[8283.1156147],832,[8283.1156147]
[40.04395068],1662555503.6537104,[5281.89476254],488,[5281.89476254]
[45.41570016],1662555503.6628401,[5313.75900378],472,[5313.75900378]
[58.23464778],1662555503.6735358,[6373.33658894],696,[6373.33658894]
[40.65437675],1662555503.6926775,[5096.81357588],464,[5096.81357588]
[89.97680381],1662555503.7155712,[7555.48773044],736,[7555.48773044]
[64.94933464],1662555503.7279708,[6613.600293],688,[6613.600293]
[48.95617141],1662555503.7454383,[5358.93053351],464,[5358.93053351]
[46.14821145],1662555503.7508316,[5574.65510927],560,[5574.65510927]
[44.68318887],1662555503.758445,[5299.59711879],456,[5299.59711879]
[44.9273593],1662555503.7840276,[5502.01440606],520,[5502.01440606]
[43.09608106],1662555503.8166664,[5362.95934562],512,[5362.95934562]
[53.47332438],1662555503.8225386,[5684.16554755],488,[5684.16554755]
[79.59956049],1662555503.8504975,[7475.64399951],720,[7475.64399951]
[47.12489318],1662555503.8821697,[5362.71517519],480,[5362.71517519]
[70.1989989],1662555503.9072356,[7017.94652668],760,[7017.94652668]
[59.33341472],1662555503.9119773,[6548.77304358],672,[6548.77304358]
[225.61347821],1662555503.9162192,[15471.6151874],1136,[15471.6151874]
[48.83408619],1662555503.9200816,[5797.82688316],576,[5797.82688316]
[64.46099377],1662555503.9311738,[6330.48467831],592,[6330.48467831]
[67.39103895],1662555503.9478457,[6847.63765108],712,[6847.63765108]
[49.81076792],1662555503.9911036,[5598.95006715],512,[5598.95006715]
[375.16786717],1662555504.0287344,[24057.38005127],1384,[24057.38005127]
[104.01660359],1662555504.0324967,[8854.84067879],840,[8854.84067879]
[121.23061897],1662555504.0451398,[9916.61579783],880,[9916.61579783]
[37.48016115],1662555504.0722616,[4882.06568185],408,[4882.06568185]
[47.24697839],1662555504.0855,[5696.61823953],560,[5696.61823953]
[37.35807594],1662555504.0900507,[4911.61030399],440,[4911.61030399]
[62.62971554],1662555504.0938017,[6336.58893908],624,[6336.58893908]
[260.52984984],1662555504.0996454,[17958.85728238],1368,[17958.85728238]
[42.85191063],1662555504.1089795,[5439.50677573],544,[5439.50677573]
[43.70650714],1662555504.120793,[5611.76901477],592,[5611.76901477]
[46.75863753],1662555504.1309814,[5179.22109633],488,[5179.22109633]
[46.02612624],1662555504.1378407,[5486.38749847],520,[5486.38749847]
[263.70406544],1662555504.1542292,[17971.55414479],1312,[17971.55414479]
[70.93151019],1662555504.1658356,[6923.94091076],688,[6923.94091076]
[93.39518984],1662555504.1770751,[8331.82761568],792,[8331.82761568]
[96.2031498],1662555504.1945498,[8897.20424857],912,[8897.20424857]
[158.34452448],1662555504.2088351,[11439.38469051],968,[11439.38469051]
[45.17152973],1662555504.2136784,[4985.22768893],408,[4985.22768893]
[94.73812721],1662555504.2177885,[8337.68770602],816,[8337.68770602]
[99.98779148],1662555504.2238188,[8331.33927481],776,[8331.33927481]
[112.31839824],1662555504.2389083,[9130.38701013],888,[9130.38701013]
[41.26480283],1662555504.2502112,[5040.16603589],448,[5040.16603589]
[73.3732145],1662555504.2579122,[6767.42766451],632,[6767.42766451]
[180.44194848],1662555504.2677977,[12681.84592846],1008,[12681.84592846]
[58.23464778],1662555504.274641,[6256.01269686],616,[6256.01269686]
[54.08375046],1662555504.286222,[5846.90513979],560,[5846.90513979]
[41.63105848],1662555504.2995958,[5295.20205103],512,[5295.20205103]
[39.55560982],1662555504.3027322,[4950.06714687],424,[4950.06714687]
[43.70650714],1662555504.3109896,[5216.94542791],488,[5216.94542791]
[170.43096081],1662555504.316977,[12499.93895739],1120,[12499.93895739]
[53.10706873],1662555504.3373783,[6262.97155414],696,[6262.97155414]
[60.79843731],1662555504.3589735,[6691.73483091],768,[6691.73483091]
[50.29910878],1662555504.3650506,[5694.54279087],584,[5694.54279087]
[109.6325235],1662555504.3908088,[9143.32804297],872,[9143.32804297]
[69.83274325],1662555504.3976698,[6695.76364302],664,[6695.76364302]
[37.8464168],1662555504.4019074,[4864.48541082],408,[4864.48541082]
[132.95079966],1662555504.4111605,[10472.95812477],976,[10472.95812477]
[37.48016115],1662555504.4436066,[4950.43340251],464,[4950.43340251]
[254.91392992],1662555504.4496772,[17758.88169943],1368,[17758.88169943]
[68.00146502],1662555504.4549334,[6739.22597973],704,[6739.22597973]
[235.99072152],1662555504.4694808,[16373.58075937],1264,[16373.58075937]
[212.30618972],1662555504.5030572,[15336.10059822],1192,[15336.10059822]
[48.22366011],1662555504.5072582,[5321.81662801],512,[5321.81662801]
[45.41570016],1662555504.5168147,[5484.1899646],544,[5484.1899646]
[385.6671957],1662555504.5238109,[25776.46197045],1528,[25776.46197045]
[57.99047735],1662555504.532976,[6264.92491759],624,[6264.92491759]
[96.32523501],1662555504.5462346,[8418.50811867],896,[8418.50811867]
[85.21548041],1662555504.5518184,[7803.56488829],776,[7803.56488829]
[65.19350507],1662555504.5626004,[6245.63545355],592,[6245.63545355]
[1000.12208522],1662555504.5664802,[90744.35355878],3136,[90744.35355878]
[45.90404102],1662555504.5707798,[5457.94164327],552,[5457.94164327]
[42.48565499],1662555504.576574,[5451.47112685],544,[5451.47112685]
[46.27029667],1662555504.5807655,[5516.66463191],528,[5516.66463191]
[40.89854719],1662555504.584479,[4944.08497131],416,[4944.08497131]
[48.1015749],1662555504.5895026,[5545.96508363],512,[5545.96508363]
[77.40202661],1662555504.597122,[6948.84629471],672,[6948.84629471]
[38.45684288],1662555504.6112692,[5017.09193017],464,[5017.09193017]
[62.99597119],1662555504.6333432,[6377.12123062],648,[6377.12123062]
[48.58991576],1662555504.6397967,[5747.6498596],600,[5747.6498596]
[116.713466],1662555504.6453433,[9352.94835795],864,[9352.94835795]
[924.42925162],1662555504.6714408,[74324.01416188],3112,[74324.01416188]
[64.46099377],1662555504.6818452,[6171.28555732],656,[6171.28555732]
[145.03723599],1662555504.688776,[11019.89989012],1048,[11019.89989012]
[77.03577097],1662555504.7236252,[6975.5829569],664,[6975.5829569]
[77.15785618],1662555504.731004,[7002.19753388],696,[7002.19753388]
[112.92882432],1662555504.7360263,[9616.04199731],992,[9616.04199731]
[54.69417654],1662555504.7454345,[5812.84336467],520,[5812.84336467]
[375.28995239],1662555504.7541542,[24527.28604566],1464,[24527.28604566]
[78.13453791],1662555504.7697213,[7657.91722622],792,[7657.91722622]
[70.07691369],1662555504.7910836,[6549.26138445],680,[6549.26138445]
[115.37052863],1662555504.802329,[8920.88878037],808,[8920.88878037]
[82.28543523],1662555504.81569,[7423.39152729],736,[7423.39152729]
[85.82590648],1662555504.8218415,[8281.77267733],888,[8281.77267733]
[47.85740447],1662555504.8295605,[5782.93248688],576,[5782.93248688]
[58.23464778],1662555504.8386672,[5910.38945184],552,[5910.38945184]
[52.13038701],1662555504.8434768,[5599.56049322],488,[5599.56049322]
[188.98791356],1662555504.855534,[13489.68379929],1096,[13489.68379929]
[49.07825662],1662555504.8720386,[5526.55353437],560,[5526.55353437]
[46.39238188],1662555504.877741,[5329.14174093],528,[5329.14174093]
[96.44732023],1662555504.8827145,[8445.85520693],856,[8445.85520693]
[48.46783055],1662555504.8902855,[5267.48870712],480,[5267.48870712]
[63.72848248],1662555504.9040594,[6601.51385667],640,[6601.51385667]
[51.2757905],1662555504.9161692,[5771.94481748],584,[5771.94481748]
[104.1386888],1662555504.9347062,[9015.87107801],840,[9015.87107801]
[51.39787572],1662555504.9433107,[5542.79086803],488,[5542.79086803]
[122.57355634],1662555504.9513557,[10073.73947015],944,[10073.73947015]
[44.9273593],1662555504.9775982,[5338.90855817],520,[5338.90855817]
[105.35954096],1662555504.985073,[9303.13759004],864,[9303.13759004]
[124.89317544],1662555504.988579,[9984.73934806],872,[9984.73934806]
[71.05359541],1662555505.0094216,[7020.38823098],736,[7020.38823098]
[46.88072274],1662555505.0220296,[5758.39335856],584,[5758.39335856]
[47.12489318],1662555505.0485404,[5380.05127579],512,[5380.05127579]
[104.8712001],1662555505.0796232,[8579.78268832],784,[8579.78268832]
[66.17018679],1662555505.093751,[6749.48113783],656,[6749.48113783]
[136.36918569],1662555505.112129,[10622.02417287],928,[10622.02417287]
[39.18935417],1662555505.12959,[5264.07032108],504,[5264.07032108]
[56.52545477],1662555505.1584404,[5906.36063973],576,[5906.36063973]
[80.82041265],1662555505.1616569,[7279.08680259],760,[7279.08680259]
[50.54327921],1662555505.174145,[5412.89219875],480,[5412.89219875]
[59.82175559],1662555505.1814961,[6125.74777194],520,[6125.74777194]
[44.194848],1662555505.1916442,[5214.01538274],488,[5214.01538274]
[58.84507386],1662555505.2087,[6320.47369064],648,[6320.47369064]
[94.86021243],1662555505.2137876,[7964.83945794],816,[7964.83945794]
[64.82724942],1662555505.2373655,[6318.76449762],584,[6318.76449762]
[54.08375046],1662555505.2541316,[5821.87767061],600,[5821.87767061]
[91.19765596],1662555505.2679248,[8285.43523379],856,[8285.43523379]
[44.80527408],1662555505.3069675,[5266.14576975],488,[5266.14576975]
[66.53644244],1662555505.3166773,[6545.47674277],576,[6545.47674277]
[74.22781101],1662555505.3218064,[7137.83420828],672,[7137.83420828]
[167.50091564],1662555505.3257334,[11580.75937004],944,[11580.75937004]
[69.58857282],1662555505.337282,[7203.14979856],776,[7203.14979856]
[58.72298865],1662555505.3522906,[6020.87657185],560,[6020.87657185]
[62.2634599],1662555505.3707507,[6079.72164571],568,[6079.72164571]
[45.53778537],1662555505.404077,[5165.18129654],512,[5165.18129654]
[67.75729459],1662555505.4131455,[6391.28311561],592,[6391.28311561]
[47.49114882],1662555505.4180405,[5584.05567086],576,[5584.05567086]
[41.75314369],1662555505.4332962,[5240.01953363],488,[5240.01953363]
[88.63386644],1662555505.4375877,[7936.27151752],784,[7936.27151752]
[40.53229154],1662555505.4440362,[5290.56281284],520,[5290.56281284]
[69.71065804],1662555505.476033,[6992.9190575],664,[6992.9190575]
[42.72982542],1662555505.4793901,[5255.89061165],440,[5255.89061165]
[70.93151019],1662555505.4932516,[6876.08350629],728,[6876.08350629]
[64.33890856],1662555505.520017,[6856.79404224],744,[6856.79404224]
[880.23440361],1662555505.5268674,[70212.30618972],2808,[70212.30618972]
[93.8835307],1662555505.5394602,[7948.11378342],696,[7948.11378342]
[424.36820901],1662555505.544561,[27536.07618117],1608,[27536.07618117]
[61.04260774],1662555505.555212,[6453.54657551],672,[6453.54657551]
[45.90404102],1662555505.5738225,[5539.73873764],544,[5539.73873764]
[50.42119399],1662555505.5950034,[5827.00524966],584,[5827.00524966]
[89.97680381],1662555505.6097682,[8187.15663533],800,[8187.15663533]
[172.50640947],1662555505.6512947,[12451.95946771],944,[12451.95946771]
[73.12904407],1662555505.6599772,[7133.80539617],712,[7133.80539617]
[47.85740447],1662555505.6757426,[5433.89085582],552,[5433.89085582]
[60.79843731],1662555505.682883,[6403.36955195],648,[6403.36955195]
[90.95348553],1662555505.6888187,[8053.10706873],824,[8053.10706873]
[68.36772067],1662555505.7042444,[6995.11659138],728,[6995.11659138]
[69.71065804],1662555505.7116675,[6882.92027835],704,[6882.92027835]
[53.5954096],1662555505.7274182,[5998.4128922],568,[5998.4128922]
[120.86436333],1662555505.7308214,[9817.8488585],944,[9817.8488585]
[170.79721646],1662555505.7468734,[11910.02319619],976,[11910.02319619]
[48.1015749],1662555505.7533402,[5937.49236967],656,[5937.49236967]
[54.57209132],1662555505.7656767,[6095.10438286],632,[6095.10438286]
[59.69967037],1662555505.7707214,[6190.45293615],624,[6190.45293615]
[70.68733976],1662555505.793752,[6959.58979368],656,[6959.58979368]
[143.93846905],1662555505.8224998,[11236.84531803],1024,[11236.84531803]
[59.08924429],1662555505.8326073,[6408.25296057],688,[6408.25296057]
[76.05908924],1662555505.8517096,[7155.53656452],680,[7155.53656452]
[97.66817238],1662555505.8660374,[8289.95238677],792,[8289.95238677]
[46.39238188],1662555505.8908887,[5267.00036626],472,[5267.00036626]
[61.16469296],1662555505.8956327,[6434.25711146],624,[6434.25711146]
[84.97130997],1662555505.9044125,[7731.16835551],816,[7731.16835551]
[45.53778537],1662555505.9172916,[5400.43950678],504,[5400.43950678]
[76.91368575],1662555505.9222896,[7344.89073373],800,[7344.89073373]
[53.5954096],1662555505.9261901,[5887.43743133],584,[5887.43743133]
[64.7051642],1662555505.9544177,[6597.85130021],664,[6597.85130021]
[70.68733976],1662555505.9608111,[7161.51874008],776,[7161.51874008]
[72.39653278],1662555505.9673982,[6960.07813454],672,[6960.07813454]
[37.48016115],1662555505.995035,[4958.85728238],472,[4958.85728238]
[51.2757905],1662555505.999848,[5684.5318032],568,[5684.5318032]
[339.8852399],1662555506.0105124,[23195.70260041],1536,[23195.70260041]
[80.33207179],1662555506.0271864,[7240.99621536],696,[7240.99621536]
[69.22231718],1662555506.0407135,[6783.9091686],656,[6783.9091686]
[282.99352948],1662555506.05448,[18945.54999389],1384,[18945.54999389]
[59.57758515],1662555506.0614524,[6154.43779758],568,[6154.43779758]
[364.79062386],1662555506.0668516,[23740.93517275],1408,[23740.93517275]
[254.54767428],1662555506.0755484,[16892.68709559],1200,[16892.68709559]
[47.24697839],1662555506.0946252,[5670.73617385],512,[5670.73617385]
[70.32108412],1662555506.1058865,[6936.8819436],704,[6936.8819436]
[50.54327921],1662555506.1103811,[5998.53497741],632,[5998.53497741]
[54.08375046],1662555506.138588,[5503.11317299],504,[5503.11317299]
[63.8505677],1662555506.157071,[6388.23098523],608,[6388.23098523]
[46.5144671],1662555506.1703506,[5322.42705408],472,[5322.42705408]
[133.56122574],1662555506.1761546,[10714.44268099],976,[10714.44268099]
[45.29361494],1662555506.1921399,[5271.39543401],504,[5271.39543401]
[55.42668783],1662555506.2189553,[5776.95031132],480,[5776.95031132]
[72.76278843],1662555506.2240887,[7088.38969601],712,[7088.38969601]
[108.16750092],1662555506.2327006,[8443.41350262],792,[8443.41350262]
[58.23464778],1662555506.2418985,[5860.57868392],568,[5860.57868392]
[47.73531925],1662555506.247952,[5596.50836284],544,[5596.50836284]
[56.7696252],1662555506.2714782,[6253.57099255],624,[6253.57099255]
[86.31424734],1662555506.2885914,[7885.85032353],760,[7885.85032353]
[294.83579539],1662555506.2950964,[19831.88865828],1264,[19831.88865828]
[83.6283726],1662555506.3004208,[8065.92601636],880,[8065.92601636]
[56.89171041],1662555506.3353446,[6361.86057868],616,[6361.86057868]
[46.5144671],1662555506.3420107,[5684.16554755],616,[5684.16554755]
[37.60224637],1662555506.3563783,[4965.69405445],456,[4965.69405445]
[278.84263216],1662555506.37001,[18363.08143084],1152,[18363.08143084]
[53.83958003],1662555506.3744178,[5773.40984007],584,[5773.40984007]
[58.96715908],1662555506.381223,[6221.34049567],600,[6221.34049567]
[39.92186546],1662555506.3964908,[5058.72298865],440,[5058.72298865]
[54.32792089],1662555506.4012074,[5579.29434745],488,[5579.29434745]
[49.93285313],1662555506.41409,[5265.65742889],416,[5265.65742889]
[71.41985106],1662555506.4344726,[6797.94896838],664,[6797.94896838]
[51.2757905],1662555506.455875,[5911.48821878],616,[5911.48821878]
[74.59406666],1662555506.4622605,[7345.25698938],736,[7345.25698938]
[70.1989989],1662555506.470461,[6772.43315834],728,[6772.43315834]
[41.63105848],1662555506.4955916,[5176.04688072],464,[5176.04688072]
[268.46538884],1662555506.5016634,[18389.32975217],1360,[18389.32975217]
[78.25662312],1662555506.5050397,[7506.89781467],776,[7506.89781467]
[57.50213649],1662555506.5209312,[5792.5772189],560,[5792.5772189]
[62.99597119],1662555506.5246105,[6304.84678305],664,[6304.84678305]
[50.54327921],1662555506.5370176,[5561.95824686],544,[5561.95824686]
[790.62385545],1662555506.5584745,[59943.2303748],2504,[59943.2303748]
[61.04260774],1662555506.5811563,[6459.89500671],656,[6459.89500671]
[134.29373703],1662555506.5916352,[10275.91258699],984,[10275.91258699]
[59.57758515],1662555506.6018484,[6564.15578073],720,[6564.15578073]
[131.97411793],1662555506.6194053,[9858.25906483],952,[9858.25906483]
[69.71065804],1662555506.62314,[6864.85166646],632,[6864.85166646]
[53.47332438],1662555506.627952,[5788.670492],512,[5788.670492]
[214.99206446],1662555506.6412475,[15202.78354291],1240,[15202.78354291]
[60.79843731],1662555506.651632,[6340.12941033],632,[6340.12941033]
[139.66548651],1662555506.6568918,[10405.44500061],888,[10405.44500061]
[117.81223294],1662555506.6630147,[9188.86582835],872,[9188.86582835]
[145.52557685],1662555506.6675391,[11374.80161152],1056,[11374.80161152]
[139.78757173],1662555506.6718435,[10498.35184959],848,[10498.35184959]
[82.7737761],1662555506.676031,[7459.16249542],760,[7459.16249542]
[71.90819192],1662555506.681953,[7091.56391161],672,[7091.56391161]
[80.33207179],1662555506.6986284,[7862.53204737],856,[7862.53204737]
[59.33341472],1662555506.7028902,[6434.01294103],664,[6434.01294103]
[63.36222683],1662555506.7241132,[6379.19667928],672,[6379.19667928]
[51.2757905],1662555506.7382736,[5950.92174338],600,[5950.92174338]
[102.67366622],1662555506.7417116,[8340.25149554],688,[8340.25149554]
[46.5144671],1662555506.7498631,[5660.60310096],576,[5660.60310096]
[49.32242705],1662555506.7621102,[5575.63179099],512,[5575.63179099]
[80.82041265],1662555506.7703362,[7551.09266268],752,[7551.09266268]
[62.38554511],1662555506.7761066,[6240.87413014],592,[6240.87413014]
[37.60224637],1662555506.793073,[4987.18105237],456,[4987.18105237]
[207.05652545],1662555506.7975955,[13788.54840679],1072,[13788.54840679]
[48.46783055],1662555506.8022375,[5625.68672934],536,[5625.68672934]
[67.26895373],1662555506.8190584,[6915.27286046],704,[6915.27286046]
[84.48296911],1662555506.8432825,[7731.0462703],784,[7731.0462703]
[113.5392504],1662555506.8510954,[8782.19997558],824,[8782.19997558]
[53.71749481],1662555506.85667,[5656.20803321],520,[5656.20803321]
[45.41570016],1662555506.8720455,[5509.09534855],528,[5509.09534855]
[222.68343304],1662555506.8895016,[15377.85374191],1280,[15377.85374191]
[118.05640337],1662555506.9009848,[9546.81968014],920,[9546.81968014]
[124.40483457],1662555506.90811,[10074.34989623],952,[10074.34989623]
[74.71615187],1662555506.9146445,[6961.29898669],696,[6961.29898669]
[142.96178733],1662555506.9223242,[10800.02441704],944,[10800.02441704]
